Body size,Body weight,Cheeks,Face shape/ chin,Eyes,Lips,Teeth,Skin,Hair,Appetite,Thirst,Digestion,Mind,Voice,Emotions,doshas
Slim,Overweight,"Rounded, plump","Thin, angular","Sharp, bright, gray, green, sensitive to light","Smooth, oily, cool, white, pale","Stick out, big, roomy, thin gums","Thick, oily, cool, white, pale","Thick, curly, oily, wayv, luxurient",Strong and unbearable,Surplus,"Irregular, forms gas",Calm,Strong tone,"Anger, hate, jealousy",kapha
Slim,Low,Smooth flat,"Thin, angular","Sharp, bright, gray, green, sensitive to light","Smooth, oily, cool, white, pale","Medium , soft , tender gums","Thin, dry, cold, rough","Straight, oily, blonde, gray, red, bald",Slow but steady,Changeable,"Quick, causes burning",Calm,Strong tone,"Anger, hate, jealousy",pitta
Medium,Medium,wrinkled/sunken,"Rounded, double chin","Sharp, bright, gray, green, sensitive to light",red inflammed yellowish,"Stick out, big, roomy, thin gums","Smooth, oily, warm, rosy","Thick, curly, oily, wayv, luxurient",Strong and unbearable,Changeable,"Quick, causes burning",Calm,Strong tone,"Anxiety, fear, uncertainity",pitta
Medium,Medium,"Rounded, plump","Rounded, double chin","Sharp, bright, gray, green, sensitive to light","Dry, cracked, black/brown tinge","Healthy, white, strong gums","Smooth, oily, warm, rosy","Dry, brown, black, knotted, brittle, scarce",Slow but steady,Surplus,"Irregular, forms gas",Impatient,"Deep, good tone","Anger, hate, jealousy",pitta
Large,Low,Smooth flat,"Rounded, double chin","Small,sunken, dry, active, black,brown",red inflammed yellowish,"Stick out, big, roomy, thin gums","Thin, dry, cold, rough","Thick, curly, oily, wayv, luxurient",Strong and unbearable,Changeable,"Quick, causes burning",Restless,"Deep, good tone","Anger, hate, jealousy",vatta
Medium,Medium,wrinkled/sunken,"Thin, angular","Sharp, bright, gray, green, sensitive to light","Smooth, oily, cool, white, pale","Medium , soft , tender gums","Thin, dry, cold, rough","Dry, brown, black, knotted, brittle, scarce",Strong and unbearable,Sparse,"Prolonged, formes mucous",Impatient,"Weak, hoarse","Calm, greedy, attachment",pitta
Medium,Medium,wrinkled/sunken,"Rounded, double chin","Small,sunken, dry, active, black,brown",red inflammed yellowish,"Medium , soft , tender gums","Thick, oily, cool, white, pale","Thick, curly, oily, wayv, luxurient",Slow but steady,Changeable,"Quick, causes burning",Impatient,"Deep, good tone","Anxiety, fear, uncertainity",pitta
Medium,Overweight,Smooth flat,"Thin, angular","Sharp, bright, gray, green, sensitive to light","Dry, cracked, black/brown tinge","Medium , soft , tender gums","Thick, oily, cool, white, pale","Straight, oily, blonde, gray, red, bald","Irregular, scanty",Surplus,"Prolonged, formes mucous",Impatient,"Weak, hoarse","Anger, hate, jealousy",pitta
Slim,Low,Smooth flat,"Thin, angular","Big, blue, calm","Dry, cracked, black/brown tinge","Medium , soft , tender gums","Smooth, oily, warm, rosy","Dry, brown, black, knotted, brittle, scarce","Irregular, scanty",Surplus,"Irregular, forms gas",Restless,"Weak, hoarse","Calm, greedy, attachment",vatta
Slim,Medium,"Rounded, plump","Thin, angular","Sharp, bright, gray, green, sensitive to light","Smooth, oily, cool, white, pale","Stick out, big, roomy, thin gums","Smooth, oily, warm, rosy","Thick, curly, oily, wayv, luxurient",Slow but steady,Changeable,"Prolonged, formes mucous",Calm,"Deep, good tone","Anger, hate, jealousy",vatta
Slim,Medium,"Rounded, plump","Thin, angular","Sharp, bright, gray, green, sensitive to light",red inflammed yellowish,"Stick out, big, roomy, thin gums","Thin, dry, cold, rough","Straight, oily, blonde, gray, red, bald",Slow but steady,Changeable,"Irregular, forms gas",Impatient,"Weak, hoarse","Calm, greedy, attachment",vatta
Slim,Low,"Rounded, plump",Tapering/triangular,"Small,sunken, dry, active, black,brown",red inflammed yellowish,"Medium , soft , tender gums","Thin, dry, cold, rough","Straight, oily, blonde, gray, red, bald",Strong and unbearable,Sparse,"Quick, causes burning",Restless,Strong tone,"Anger, hate, jealousy",pitta
Slim,Overweight,Smooth flat,Tapering/triangular,"Sharp, bright, gray, green, sensitive to light",red inflammed yellowish,"Medium , soft , tender gums","Smooth, oily, warm, rosy","Dry, brown, black, knotted, brittle, scarce","Irregular, scanty",Surplus,"Irregular, forms gas",Impatient,Strong tone,"Anger, hate, jealousy",pitta
Large,Overweight,Smooth flat,"Thin, angular","Big, blue, calm","Dry, cracked, black/brown tinge","Medium , soft , tender gums","Thick, oily, cool, white, pale","Dry, brown, black, knotted, brittle, scarce","Irregular, scanty",Sparse,"Prolonged, formes mucous",Impatient,"Weak, hoarse","Calm, greedy, attachment",kapha
Medium,Overweight,wrinkled/sunken,"Thin, angular","Sharp, bright, gray, green, sensitive to light","Dry, cracked, black/brown tinge","Healthy, white, strong gums","Smooth, oily, warm, rosy","Dry, brown, black, knotted, brittle, scarce",Slow but steady,Changeable,"Irregular, forms gas",Restless,"Weak, hoarse","Anxiety, fear, uncertainity",vatta
Large,Overweight,wrinkled/sunken,"Thin, angular","Sharp, bright, gray, green, sensitive to light",red inflammed yellowish,"Medium , soft , tender gums","Smooth, oily, warm, rosy","Straight, oily, blonde, gray, red, bald","Irregular, scanty",Sparse,"Quick, causes burning",Impatient,"Deep, good tone","Anger, hate, jealousy",pitta
Large,Overweight,Smooth flat,"Thin, angular","Sharp, bright, gray, green, sensitive to light",red inflammed yellowish,"Medium , soft , tender gums","Smooth, oily, warm, rosy","Thick, curly, oily, wayv, luxurient",Strong and unbearable,Changeable,"Quick, causes burning",Restless,Strong tone,"Calm, greedy, attachment",pitta
Large,Medium,"Rounded, plump","Rounded, double chin","Small,sunken, dry, active, black,brown","Smooth, oily, cool, white, pale","Stick out, big, roomy, thin gums","Smooth, oily, warm, rosy","Straight, oily, blonde, gray, red, bald",Strong and unbearable,Sparse,"Irregular, forms gas",Calm,Strong tone,"Anxiety, fear, uncertainity",kapha
Slim,Medium,wrinkled/sunken,Tapering/triangular,"Big, blue, calm",red inflammed yellowish,"Medium , soft , tender gums","Thin, dry, cold, rough","Straight, oily, blonde, gray, red, bald",Slow but steady,Sparse,"Quick, causes burning",Calm,"Deep, good tone","Anxiety, fear, uncertainity",pitta
Large,Overweight,"Rounded, plump",Tapering/triangular,"Big, blue, calm","Smooth, oily, cool, white, pale","Medium , soft , tender gums","Thick, oily, cool, white, pale","Thick, curly, oily, wayv, luxurient",Strong and unbearable,Sparse,"Quick, causes burning",Impatient,Strong tone,"Calm, greedy, attachment",kapha
Slim,Medium,"Rounded, plump","Rounded, double chin","Big, blue, calm","Smooth, oily, cool, white, pale","Healthy, white, strong gums","Smooth, oily, warm, rosy","Dry, brown, black, knotted, brittle, scarce",Slow but steady,Sparse,"Irregular, forms gas",Calm,"Deep, good tone","Anxiety, fear, uncertainity",kapha
Slim,Medium,"Rounded, plump","Rounded, double chin","Sharp, bright, gray, green, sensitive to light","Dry, cracked, black/brown tinge","Medium , soft , tender gums","Thick, oily, cool, white, pale","Straight, oily, blonde, gray, red, bald","Irregular, scanty",Surplus,"Prolonged, formes mucous",Impatient,"Weak, hoarse","Anger, hate, jealousy",pitta
Large,Medium,wrinkled/sunken,"Thin, angular","Sharp, bright, gray, green, sensitive to light","Smooth, oily, cool, white, pale","Healthy, white, strong gums","Thick, oily, cool, white, pale","Straight, oily, blonde, gray, red, bald","Irregular, scanty",Surplus,"Quick, causes burning",Calm,"Weak, hoarse","Calm, greedy, attachment",kapha
Medium,Medium,"Rounded, plump","Thin, angular","Sharp, bright, gray, green, sensitive to light","Smooth, oily, cool, white, pale","Medium , soft , tender gums","Thick, oily, cool, white, pale","Thick, curly, oily, wayv, luxurient",Slow but steady,Changeable,"Prolonged, formes mucous",Restless,Strong tone,"Calm, greedy, attachment",kapha
Medium,Overweight,Smooth flat,"Thin, angular","Sharp, bright, gray, green, sensitive to light","Smooth, oily, cool, white, pale","Medium , soft , tender gums","Smooth, oily, warm, rosy","Thick, curly, oily, wayv, luxurient",Slow but steady,Sparse,"Quick, causes burning",Calm,"Weak, hoarse","Calm, greedy, attachment",pitta
Medium,Medium,Smooth flat,Tapering/triangular,"Sharp, bright, gray, green, sensitive to light",red inflammed yellowish,"Medium , soft , tender gums","Thin, dry, cold, rough","Thick, curly, oily, wayv, luxurient","Irregular, scanty",Sparse,"Irregular, forms gas",Calm,"Weak, hoarse","Anxiety, fear, uncertainity",pitta
Medium,Overweight,"Rounded, plump","Rounded, double chin","Big, blue, calm","Smooth, oily, cool, white, pale","Medium , soft , tender gums","Smooth, oily, warm, rosy","Thick, curly, oily, wayv, luxurient",Slow but steady,Sparse,"Prolonged, formes mucous",Calm,"Deep, good tone","Calm, greedy, attachment",kapha
Medium,Medium,wrinkled/sunken,"Thin, angular","Small,sunken, dry, active, black,brown","Smooth, oily, cool, white, pale","Healthy, white, strong gums","Thick, oily, cool, white, pale","Thick, curly, oily, wayv, luxurient",Slow but steady,Sparse,"Quick, causes burning",Calm,"Deep, good tone","Calm, greedy, attachment",kapha
Slim,Medium,"Rounded, plump",Tapering/triangular,"Big, blue, calm","Dry, cracked, black/brown tinge","Stick out, big, roomy, thin gums","Thick, oily, cool, white, pale","Thick, curly, oily, wayv, luxurient",Slow but steady,Changeable,"Quick, causes burning",Restless,"Weak, hoarse","Anxiety, fear, uncertainity",vatta
Medium,Medium,wrinkled/sunken,"Thin, angular","Small,sunken, dry, active, black,brown","Dry, cracked, black/brown tinge","Stick out, big, roomy, thin gums","Thin, dry, cold, rough","Dry, brown, black, knotted, brittle, scarce",Strong and unbearable,Changeable,"Quick, causes burning",Impatient,"Deep, good tone","Anger, hate, jealousy",vatta
Large,Overweight,wrinkled/sunken,"Thin, angular","Small,sunken, dry, active, black,brown",red inflammed yellowish,"Stick out, big, roomy, thin gums","Thick, oily, cool, white, pale","Straight, oily, blonde, gray, red, bald","Irregular, scanty",Surplus,"Irregular, forms gas",Calm,"Deep, good tone","Anger, hate, jealousy",vatta
Slim,Low,Smooth flat,"Thin, angular","Small,sunken, dry, active, black,brown","Dry, cracked, black/brown tinge","Medium , soft , tender gums","Thin, dry, cold, rough","Dry, brown, black, knotted, brittle, scarce","Irregular, scanty",Changeable,"Irregular, forms gas",Restless,"Weak, hoarse","Anxiety, fear, uncertainity",vatta
Slim,Low,Smooth flat,"Rounded, double chin","Small,sunken, dry, active, black,brown",red inflammed yellowish,"Stick out, big, roomy, thin gums","Thin, dry, cold, rough","Dry, brown, black, knotted, brittle, scarce","Irregular, scanty",Surplus,"Quick, causes burning",Impatient,Strong tone,"Anxiety, fear, uncertainity",vatta
Slim,Overweight,"Rounded, plump","Thin, angular","Small,sunken, dry, active, black,brown",red inflammed yellowish,"Medium , soft , tender gums","Thin, dry, cold, rough","Dry, brown, black, knotted, brittle, scarce","Irregular, scanty",Sparse,"Irregular, forms gas",Calm,Strong tone,"Anxiety, fear, uncertainity",vatta
Slim,Medium,"Rounded, plump","Thin, angular","Big, blue, calm","Smooth, oily, cool, white, pale","Stick out, big, roomy, thin gums","Thick, oily, cool, white, pale","Straight, oily, blonde, gray, red, bald",Strong and unbearable,Surplus,"Prolonged, formes mucous",Restless,"Weak, hoarse","Calm, greedy, attachment",kapha
Slim,Low,wrinkled/sunken,Tapering/triangular,"Sharp, bright, gray, green, sensitive to light","Dry, cracked, black/brown tinge","Medium , soft , tender gums","Thick, oily, cool, white, pale","Thick, curly, oily, wayv, luxurient",Strong and unbearable,Surplus,"Prolonged, formes mucous",Impatient,"Deep, good tone","Calm, greedy, attachment",kapha
Medium,Medium,"Rounded, plump",Tapering/triangular,"Sharp, bright, gray, green, sensitive to light","Smooth, oily, cool, white, pale","Medium , soft , tender gums","Thick, oily, cool, white, pale","Straight, oily, blonde, gray, red, bald",Slow but steady,Sparse,"Prolonged, formes mucous",Restless,Strong tone,"Anger, hate, jealousy",pitta
Slim,Medium,Smooth flat,"Rounded, double chin","Sharp, bright, gray, green, sensitive to light","Smooth, oily, cool, white, pale","Medium , soft , tender gums","Thick, oily, cool, white, pale","Straight, oily, blonde, gray, red, bald",Strong and unbearable,Surplus,"Prolonged, formes mucous",Impatient,Strong tone,"Calm, greedy, attachment",pitta
Medium,Overweight,"Rounded, plump",Tapering/triangular,"Small,sunken, dry, active, black,brown",red inflammed yellowish,"Healthy, white, strong gums","Smooth, oily, warm, rosy","Dry, brown, black, knotted, brittle, scarce","Irregular, scanty",Sparse,"Irregular, forms gas",Impatient,"Deep, good tone","Anxiety, fear, uncertainity",vatta
Slim,Medium,Smooth flat,"Rounded, double chin","Small,sunken, dry, active, black,brown",red inflammed yellowish,"Stick out, big, roomy, thin gums","Thick, oily, cool, white, pale","Straight, oily, blonde, gray, red, bald",Slow but steady,Surplus,"Irregular, forms gas",Calm,"Weak, hoarse","Anger, hate, jealousy",pitta
Large,Overweight,Smooth flat,"Thin, angular","Small,sunken, dry, active, black,brown","Dry, cracked, black/brown tinge","Stick out, big, roomy, thin gums","Thin, dry, cold, rough","Dry, brown, black, knotted, brittle, scarce",Slow but steady,Changeable,"Irregular, forms gas",Restless,"Weak, hoarse","Anxiety, fear, uncertainity",vatta
Medium,Overweight,"Rounded, plump","Thin, angular","Small,sunken, dry, active, black,brown","Dry, cracked, black/brown tinge","Medium , soft , tender gums","Smooth, oily, warm, rosy","Straight, oily, blonde, gray, red, bald",Strong and unbearable,Changeable,"Quick, causes burning",Impatient,"Weak, hoarse","Anxiety, fear, uncertainity",vatta
Medium,Low,Smooth flat,Tapering/triangular,"Sharp, bright, gray, green, sensitive to light","Dry, cracked, black/brown tinge","Stick out, big, roomy, thin gums","Smooth, oily, warm, rosy","Straight, oily, blonde, gray, red, bald",Strong and unbearable,Changeable,"Quick, causes burning",Impatient,Strong tone,"Calm, greedy, attachment",pitta
Slim,Low,Smooth flat,Tapering/triangular,"Sharp, bright, gray, green, sensitive to light",red inflammed yellowish,"Medium , soft , tender gums","Thick, oily, cool, white, pale","Straight, oily, blonde, gray, red, bald",Strong and unbearable,Sparse,"Irregular, forms gas",Impatient,"Deep, good tone","Anger, hate, jealousy",pitta
Large,Medium,Smooth flat,"Thin, angular","Small,sunken, dry, active, black,brown",red inflammed yellowish,"Medium , soft , tender gums","Thick, oily, cool, white, pale","Thick, curly, oily, wayv, luxurient","Irregular, scanty",Surplus,"Irregular, forms gas",Impatient,"Deep, good tone","Calm, greedy, attachment",pitta
Large,Overweight,Smooth flat,"Rounded, double chin","Big, blue, calm",red inflammed yellowish,"Medium , soft , tender gums","Thick, oily, cool, white, pale","Thick, curly, oily, wayv, luxurient",Slow but steady,Changeable,"Quick, causes burning",Impatient,"Weak, hoarse","Anxiety, fear, uncertainity",kapha
Large,Overweight,Smooth flat,Tapering/triangular,"Sharp, bright, gray, green, sensitive to light","Dry, cracked, black/brown tinge","Medium , soft , tender gums","Thick, oily, cool, white, pale","Dry, brown, black, knotted, brittle, scarce",Strong and unbearable,Surplus,"Irregular, forms gas",Restless,Strong tone,"Anxiety, fear, uncertainity",pitta
Slim,Low,Smooth flat,Tapering/triangular,"Sharp, bright, gray, green, sensitive to light",red inflammed yellowish,"Healthy, white, strong gums","Thick, oily, cool, white, pale","Thick, curly, oily, wayv, luxurient",Slow but steady,Sparse,"Quick, causes burning",Calm,"Deep, good tone","Anger, hate, jealousy",kapha
Large,Medium,Smooth flat,"Rounded, double chin","Big, blue, calm","Dry, cracked, black/brown tinge","Stick out, big, roomy, thin gums","Thin, dry, cold, rough","Thick, curly, oily, wayv, luxurient",Strong and unbearable,Sparse,"Irregular, forms gas",Calm,Strong tone,"Anger, hate, jealousy",kapha
Slim,Medium,Smooth flat,"Rounded, double chin","Sharp, bright, gray, green, sensitive to light","Dry, cracked, black/brown tinge","Medium , soft , tender gums","Smooth, oily, warm, rosy","Straight, oily, blonde, gray, red, bald",Strong and unbearable,Changeable,"Irregular, forms gas",Restless,"Weak, hoarse","Anxiety, fear, uncertainity",vatta
Slim,Medium,wrinkled/sunken,Tapering/triangular,"Big, blue, calm",red inflammed yellowish,"Medium , soft , tender gums","Smooth, oily, warm, rosy","Dry, brown, black, knotted, brittle, scarce","Irregular, scanty",Sparse,"Quick, causes burning",Calm,"Weak, hoarse","Anger, hate, jealousy",pitta
Medium,Low,Smooth flat,Tapering/triangular,"Small,sunken, dry, active, black,brown",red inflammed yellowish,"Stick out, big, roomy, thin gums","Thick, oily, cool, white, pale","Dry, brown, black, knotted, brittle, scarce",Slow but steady,Changeable,"Prolonged, formes mucous",Calm,"Weak, hoarse","Anger, hate, jealousy",vatta
Slim,Low,Smooth flat,Tapering/triangular,"Small,sunken, dry, active, black,brown",red inflammed yellowish,"Stick out, big, roomy, thin gums","Smooth, oily, warm, rosy","Thick, curly, oily, wayv, luxurient",Strong and unbearable,Surplus,"Quick, causes burning",Impatient,"Deep, good tone","Calm, greedy, attachment",pitta
Medium,Medium,"Rounded, plump",Tapering/triangular,"Sharp, bright, gray, green, sensitive to light",red inflammed yellowish,"Medium , soft , tender gums","Thin, dry, cold, rough","Thick, curly, oily, wayv, luxurient","Irregular, scanty",Changeable,"Quick, causes burning",Impatient,"Deep, good tone","Calm, greedy, attachment",pitta
Large,Overweight,wrinkled/sunken,"Rounded, double chin","Sharp, bright, gray, green, sensitive to light",red inflammed yellowish,"Stick out, big, roomy, thin gums","Thick, oily, cool, white, pale","Straight, oily, blonde, gray, red, bald","Irregular, scanty",Changeable,"Prolonged, formes mucous",Calm,"Deep, good tone","Anxiety, fear, uncertainity",kapha
Slim,Low,"Rounded, plump","Rounded, double chin","Small,sunken, dry, active, black,brown","Dry, cracked, black/brown tinge","Stick out, big, roomy, thin gums","Thin, dry, cold, rough","Straight, oily, blonde, gray, red, bald",Strong and unbearable,Changeable,"Prolonged, formes mucous",Impatient,Strong tone,"Anxiety, fear, uncertainity",vatta
Large,Overweight,wrinkled/sunken,"Rounded, double chin","Small,sunken, dry, active, black,brown","Dry, cracked, black/brown tinge","Stick out, big, roomy, thin gums","Thin, dry, cold, rough","Dry, brown, black, knotted, brittle, scarce","Irregular, scanty",Changeable,"Irregular, forms gas",Impatient,"Deep, good tone","Anger, hate, jealousy",vatta
Slim,Low,"Rounded, plump",Tapering/triangular,"Big, blue, calm",red inflammed yellowish,"Stick out, big, roomy, thin gums","Thin, dry, cold, rough","Dry, brown, black, knotted, brittle, scarce","Irregular, scanty",Changeable,"Quick, causes burning",Impatient,"Deep, good tone","Anxiety, fear, uncertainity",vatta
Medium,Medium,Smooth flat,Tapering/triangular,"Big, blue, calm","Smooth, oily, cool, white, pale","Medium , soft , tender gums","Smooth, oily, warm, rosy","Dry, brown, black, knotted, brittle, scarce",Strong and unbearable,Surplus,"Irregular, forms gas",Impatient,"Deep, good tone","Anxiety, fear, uncertainity",pitta
Medium,Overweight,"Rounded, plump",Tapering/triangular,"Small,sunken, dry, active, black,brown","Smooth, oily, cool, white, pale","Medium , soft , tender gums","Smooth, oily, warm, rosy","Dry, brown, black, knotted, brittle, scarce",Strong and unbearable,Changeable,"Prolonged, formes mucous",Impatient,Strong tone,"Calm, greedy, attachment",pitta
Large,Overweight,wrinkled/sunken,Tapering/triangular,"Sharp, bright, gray, green, sensitive to light",red inflammed yellowish,"Stick out, big, roomy, thin gums","Thin, dry, cold, rough","Straight, oily, blonde, gray, red, bald",Slow but steady,Changeable,"Prolonged, formes mucous",Restless,Strong tone,"Anxiety, fear, uncertainity",vatta
Large,Overweight,"Rounded, plump","Thin, angular","Small,sunken, dry, active, black,brown",red inflammed yellowish,"Stick out, big, roomy, thin gums","Thick, oily, cool, white, pale","Straight, oily, blonde, gray, red, bald","Irregular, scanty",Sparse,"Quick, causes burning",Impatient,Strong tone,"Calm, greedy, attachment",kapha
Slim,Low,wrinkled/sunken,"Rounded, double chin","Sharp, bright, gray, green, sensitive to light",red inflammed yellowish,"Medium , soft , tender gums","Smooth, oily, warm, rosy","Dry, brown, black, knotted, brittle, scarce","Irregular, scanty",Sparse,"Prolonged, formes mucous",Restless,"Deep, good tone","Calm, greedy, attachment",vatta
Medium,Medium,"Rounded, plump","Rounded, double chin","Sharp, bright, gray, green, sensitive to light","Smooth, oily, cool, white, pale","Medium , soft , tender gums","Thin, dry, cold, rough","Straight, oily, blonde, gray, red, bald",Strong and unbearable,Surplus,"Irregular, forms gas",Calm,"Deep, good tone","Anxiety, fear, uncertainity",pitta
Medium,Medium,Smooth flat,"Thin, angular","Sharp, bright, gray, green, sensitive to light","Smooth, oily, cool, white, pale","Healthy, white, strong gums","Thick, oily, cool, white, pale","Dry, brown, black, knotted, brittle, scarce",Slow but steady,Changeable,"Quick, causes burning",Calm,"Deep, good tone","Calm, greedy, attachment",kapha
Slim,Medium,"Rounded, plump","Thin, angular","Big, blue, calm","Smooth, oily, cool, white, pale","Healthy, white, strong gums","Thin, dry, cold, rough","Straight, oily, blonde, gray, red, bald",Strong and unbearable,Sparse,"Irregular, forms gas",Restless,"Deep, good tone","Calm, greedy, attachment",kapha
